"Park_Name","City","Country","Year","Attendance","Type","Region"
"BETO CARRERO WORLD"," SANTA CATARINA"," BRAZIL","2019",22410000,"Amusement/Theme Park","Latin America"
"BETO CARRERO WORLD"," SANTA CATARINA"," BRAZIL","2020",12520000,"Amusement/Theme Park","Latin America"
"BETO CARRERO WORLD"," SANTA CATARINA"," BRAZIL","2021",18950000,"Amusement/Theme Park","Latin America"
"BETO CARRERO WORLD"," SANTA CATARINA"," BRAZIL","2022",23270000,"Amusement/Theme Park","Latin America"
"PARQUE XCARET"," CANCUN"," MEXICO","2019",19600000,"Amusement/Theme Park","Latin America"
"PARQUE XCARET"," CANCUN"," MEXICO","2020",7360000,"Amusement/Theme Park","Latin America"
"PARQUE XCARET"," CANCUN"," MEXICO","2021",11040000,"Amusement/Theme Park","Latin America"
"PARQUE XCARET"," CANCUN"," MEXICO","2022",13990000,"Amusement/Theme Park","Latin America"
"MUNDO PETAPA"," GUATEMALA CITY"," GUATEMALA","2019",13300000,"Amusement/Theme Park","Latin America"
"MUNDO PETAPA"," GUATEMALA CITY"," GUATEMALA","2020",2680000,"Amusement/Theme Park","Latin America"
"MUNDO PETAPA"," GUATEMALA CITY"," GUATEMALA","2021",4020000,"Amusement/Theme Park","Latin America"
"MUNDO PETAPA"," GUATEMALA CITY"," GUATEMALA","2022",8e+06,"Amusement/Theme Park","Latin America"
"LA FERIA DE CHAPULTEPEC"," MEXICO CITY"," MEXICO","2019",13060000,"Amusement/Theme Park","Latin America"
"LA FERIA DE CHAPULTEPEC"," MEXICO CITY"," MEXICO","2020",0,"Amusement/Theme Park","Latin America"
"LA FERIA DE CHAPULTEPEC"," MEXICO CITY"," MEXICO","2021",0,"Amusement/Theme Park","Latin America"
"LA FERIA DE CHAPULTEPEC"," MEXICO CITY"," MEXICO","2022",0,"Amusement/Theme Park","Latin America"
"PLAZA DE SESAMO"," MONTERREY"," MEXICO","2019",11730000,"Amusement/Theme Park","Latin America"
"PLAZA DE SESAMO"," MONTERREY"," MEXICO","2020",0,"Amusement/Theme Park","Latin America"
"PLAZA DE SESAMO"," MONTERREY"," MEXICO","2021",0,"Amusement/Theme Park","Latin America"
"PLAZA DE SESAMO"," MONTERREY"," MEXICO","2022",0,"Amusement/Theme Park","Latin America"
"PARQUE MUNDO AVENTURA"," BOGOTÁ"," COLOMBIA","2019",11510000,"Amusement/Theme Park","Latin America"
"PARQUE MUNDO AVENTURA"," BOGOTÁ"," COLOMBIA","2020",3440000,"Amusement/Theme Park","Latin America"
"PARQUE MUNDO AVENTURA"," BOGOTÁ"," COLOMBIA","2021",6310000,"Amusement/Theme Park","Latin America"
"PARQUE MUNDO AVENTURA"," BOGOTÁ"," COLOMBIA","2022",7520000,"Amusement/Theme Park","Latin America"
"FANTASIALANDIA"," SANTIAGO"," CHILE","2019",1.1e+07,"Amusement/Theme Park","Latin America"
"FANTASIALANDIA"," SANTIAGO"," CHILE","2020",4300000,"Amusement/Theme Park","Latin America"
"FANTASIALANDIA"," SANTIAGO"," CHILE","2021",6150000,"Amusement/Theme Park","Latin America"
"FANTASIALANDIA"," SANTIAGO"," CHILE","2022",8500000,"Amusement/Theme Park","Latin America"
"THEME PARQUE NACIONAL DEL CAFÉ"," QUINDIO"," COLOMBIA","2019",10430000,"Amusement/Theme Park","Latin America"
"THEME PARQUE NACIONAL DEL CAFÉ"," QUINDIO"," COLOMBIA","2020",3210000,"Amusement/Theme Park","Latin America"
"THEME PARQUE NACIONAL DEL CAFÉ"," QUINDIO"," COLOMBIA","2021",4820000,"Amusement/Theme Park","Latin America"
"THEME PARQUE NACIONAL DEL CAFÉ"," QUINDIO"," COLOMBIA","2022",6260000,"Amusement/Theme Park","Latin America"
"PARQUE DE LA COSTA"," BUENOS AIRES"," ARGENTINA","2019",9680000,"Amusement/Theme Park","Latin America"
